,Station_ID,Transect_ID,Station,Lat_Final,Long_Final
0,20210428171318-752542495.727539,20210428161330-115470111.370087,1,21.163737,-156.96441
1,20210428171318-377407610.416412,20210428161330-115470111.370087,10,21.173079,-156.964715
2,20210428171318-188131809.234619,20210428161330-115470111.370087,11,21.174043,-156.96526
3,20210428171318-979530990.123749,20210428161330-115470111.370087,12,21.175308,-156.965291
4,20210428171318-891279399.394989,20210428161330-115470111.370087,2,21.164539,-156.965005
5,20210428171318-821931481.361389,20210428161330-115470111.370087,3,21.165769,-156.964343
6,20210518143539-373536169.528961,20210428161330-115470111.370087,4,21.166737,-156.96362
7,20210428171318-176886856.555939,20210428161330-115470111.370087,5,21.167715,-156.96398
8,20210428171318-108785867.69104,20210428161330-115470111.370087,6,21.168767,-156.963551
9,20210518143543-871445834.636688,20210428161330-115470111.370087,7,21.169687,-156.964548
10,20210428171318-10293424.1294861,20210428161330-115470111.370087,8,21.171098,-156.964425
11,20210428171318-151656985.282898,20210428161330-115470111.370087,9,21.17208,-156.964247
12,20210428171318-991402447.223663,20210428161330-119544029.23584,4,21.156948,-156.962365
13,20210428171318-471391439.437866,20210428161330-119544029.23584,5,21.157657,-156.963482
14,20210428171318-4019677.63900757,20210428161330-119544029.23584,6,21.158268,-156.964677
15,20210428171318-425849318.504333,20210428161330-119544029.23584,7,21.159395,-156.965287
16,20210428171318-288717329.502106,20210428161330-119544029.23584,8,21.160166,-156.966288
17,20210428171318-203582286.834717,20210428161330-161743700.504303,1,21.129933,-156.897829
18,20210428171318-547599971.294403,20210428161330-161743700.504303,10,21.140255,-156.900032
19,20210428171318-206485390.663147,20210428161330-161743700.504303,11,21.141623,-156.900321
20,20210428171318-962678253.650665,20210428161330-161743700.504303,12,21.142906,-156.90039
21,20210428171318-933052301.40686,20210428161330-161743700.504303,13,21.144179,-156.900343
22,20210428171318-992572247.982025,20210428161330-161743700.504303,14,21.14545,-156.900151
23,20210428171318-839586138.725281,20210428161330-161743700.504303,15,21.146696,-156.900432
24,20210428171318-409323275.089264,20210428161330-161743700.504303,16,21.147744,-156.900909
25,20210428171318-207593619.823456,20210428161330-161743700.504303,2,21.130139,-156.899174
26,20210428171318-364688038.825989,20210428161330-161743700.504303,3,21.131256,-156.899682
27,20210428171318-573519527.91214,20210428161330-161743700.504303,4,21.132495,-156.899784
28,20210428171318-344180822.372437,20210428161330-161743700.504303,5,21.133788,-156.89989
29,20210428171318-528229653.835297,20210428161330-161743700.504303,6,21.135119,-156.900225
30,20210428171318-425485014.915466,20210428161330-161743700.504303,7,21.136437,-156.899707
31,20210428171318-573013365.268707,20210428161330-161743700.504303,8,21.137797,-156.899884
32,20210428171318-50045013.4277344,20210428161330-161743700.504303,9,21.139081,-156.900001
33,20210428171318-742342054.843903,20210428161330-173773407.936096,1,21.101793,-156.834528
34,20210428171318-410631656.646729,20210428161330-173773407.936096,10,21.090825,-156.829426
35,20210428171318-339375197.887421,20210428161330-173773407.936096,11,21.089781,-156.828486
36,20210428171318-840887069.702148,20210428161330-173773407.936096,2,21.100486,-156.834164
37,20210428171318-278589427.471161,20210428161330-173773407.936096,3,21.099144,-156.833963
38,20210428171318-702970147.132874,20210428161330-173773407.936096,4,21.097796,-156.833762
39,20210428171318-404864609.241486,20210428161330-173773407.936096,5,21.096503,-156.833345
40,20210428171318-811571359.634399,20210428161330-173773407.936096,6,21.09534,-156.832616
41,20210428171318-741780698.299408,20210428161330-173773407.936096,7,21.094142,-156.831938
42,20210428171318-437663912.773132,20210428161330-173773407.936096,8,21.09305,-156.831083
43,20210428171318-77980577.9457092,20210428161330-173773407.936096,9,21.091948,-156.830249
44,20210428171318-323554813.861847,20210428161330-202618300.914764,1,21.111306,-156.882943
45,20210428171318-374432206.15387,20210428161330-202618300.914764,10,21.101953,-156.888218
46,20210428171318-770832777.023315,20210428161330-202618300.914764,2,21.110008,-156.883125
47,20210428171318-389501869.678497,20210428161330-202618300.914764,3,21.108928,-156.884132
48,20210428171318-218000352.38266,20210428161330-202618300.914764,5,21.1077,-156.884869
49,20210428171318-446993231.773376,20210428161330-202618300.914764,6,21.106755,-156.885899
50,20210428171318-236027777.194977,20210428161330-202618300.914764,7,21.10561,-156.886716
51,20210428171318-878384590.148926,20210428161330-202618300.914764,8,21.104537,-156.887596
52,20210428171318-610432803.630829,20210428161330-202618300.914764,9,21.103343,-156.888199
53,20210428171318-710554242.134094,20210428161330-216733515.262604,1,21.12779,-156.888167
54,20210428171318-114332795.143127,20210428161330-216733515.262604,12,21.132242,-156.878776
55,20210428171318-984253227.710724,20210428161330-216733515.262604,13,21.133658,-156.878641
56,20210428171318-632975816.726685,20210428161330-216733515.262604,14,21.134936,-156.878314
57,20210428171318-902569651.603699,20210428161330-216733515.262604,15,21.136336,-156.878752
58,20210428171318-574864923.95401,20210428161330-216733515.262604,16,21.137741,-156.878479
59,20210428171318-598856389.522552,20210428161330-216733515.262604,17,21.137738,-156.878465
60,20210428171318-312288105.487823,20210428161330-216733515.262604,2,21.128563,-156.887164
61,20210428171318-798773527.145386,20210428161330-216733515.262604,3,21.129187,-156.885789
62,20210428171318-151756227.016449,20210428161330-216733515.262604,4,21.129224,-156.884421
63,20210428171318-592991232.872009,20210428161330-216733515.262604,5,21.129846,-156.882901
64,20210428171318-956236898.899078,20210428161330-216733515.262604,6,21.130869,-156.882357
65,20210428171318-243147850.036621,20210428161330-216733515.262604,7,21.131368,-156.881118
66,20210428171318-939971148.967743,20210428161330-216733515.262604,8,21.131487,-156.879817
